audio_name,speaker_id,tts_model,pipeline,effective_label
test-clean_1188_133604_000011_000003,1188,bonafide,TF,bonafide
test-clean_1995_1836_000007_000002,1995,bonafide,TF,bonafide
test-clean_237_134493_000017_000010,237,bonafide,WN,bonafide
dev-clean_6313_66125_000025_000001,6313,bonafide,RS+TF+WN+SM,bonafide
dev-clean_5694_64029_000011_000001,5694,bonafide,SM,bonafide
dev-clean_6241_61946_000013_000000,6241,bonafide,WN,bonafide
dev-clean_174_168635_000030_000000,174,bonafide,none,bonafide
test-clean_8230_279154_000027_000006,8230,bonafide,none,bonafide
dev-clean_7976_105575_000013_000001,7976,bonafide,RS+TF+WN+SM,bonafide
test-clean_4077_13751_000014_000008,4077,bonafide,RS,bonafide
dev-clean_2902_9008_000048_000002,2902,bonafide,RS+TF+WN+SM,bonafide
dev-clean_3000_15664_000009_000000,3000,bonafide,SM,bonafide
dev-clean_2035_152373_000009_000000,2035,bonafide,none,bonafide
dev-clean_2086_149220_000038_000001,2086,bonafide,RS+TF+WN+SM,bonafide
dev-clean_7850_286674_000009_000002,7850,bonafide,SM,bonafide
dev-clean_3752_4943_000055_000001,3752,bonafide,none,bonafide
dev-clean_3853_163249_000048_000000,3853,bonafide,TF,bonafide
test-clean_7176_92135_000031_000004,7176,bonafide,TF,bonafide
test-clean_1580_141084_000079_000003,1580,bonafide,none,bonafide
test-clean_8555_284447_000054_000001,8555,bonafide,TF,bonafide
test-clean_8463_287645_000024_000000,8463,bonafide,RS+TF+WN+SM,bonafide
test-clean_7729_102255_000035_000002,7729,bonafide,TF,bonafide
test-clean_7127_75947_000025_000000,7127,bonafide,RS,bonafide
test-clean_5105_28241_000005_000004,5105,bonafide,RS,bonafide
test-clean_7021_85628_000038_000002,7021,bonafide,WN,bonafide
dev-clean_777_126732_000072_000000,777,bonafide,none,bonafide
test-clean_5683_32866_000047_000002,5683,bonafide,RS,bonafide
test-clean_6930_75918_000042_000000,6930,bonafide,RS,bonafide
dev-clean_1988_24833_000057_000001,1988,bonafide,none,bonafide
test-clean_4970_29095_000018_000001,4970,bonafide,TF,bonafide
dev-clean_1673_143397_000003_000004,1673,bonafide,TF,bonafide
